input_F,input_R,filtered_F,filtered_R,denoised_F,denoised_R,merged_F,merged_R,tabled_F,tabled_R,tabled_together,nonchim
22667,21738,6961,6619,21162,6305,20141,5938,20141,5938,26079,24914
33472,30716,11845,10827,30649,10805,30266,10502,30266,10502,40768,40422
28010,26867,12167,11637,25687,11015,23810,10304,23810,10304,34114,31341
34917,27045,16060,11750,26339,11375,24682,10548,24682,10548,35230,30858
23828,22282,7736,7084,21713,6772,20945,6340,20945,6340,27285,26962
179669,156017,96454,81493,153773,79903,148446,77126,148446,77126,225572,208229
27548,20913,11371,7888,20368,7565,19129,7094,19129,7094,26223,25285
35917,30888,10309,8570,30188,8342,28803,7712,28803,7712,36515,33958
37558,34211,23796,21893,33281,21191,31372,20060,31372,20060,51432,47812
81568,30378,39071,11493,29374,10864,27644,10292,27644,10292,37936,37407
24189,20804,12060,10050,20010,9434,18383,8560,18383,8560,26943,26224
50149,26475,22423,10464,25684,9948,24528,9425,24528,9425,33953,33758
16495,13847,4686,3721,13321,3476,12332,3070,12332,3070,15402,14748
19102,18010,6715,6196,17564,5988,16877,5634,16877,5634,22511,21527
41065,39156,9312,8746,38589,8524,37213,8180,37213,8180,45393,42024
31797,30199,9100,8617,29372,8117,27878,7629,27878,7629,35507,35275
30887,30057,9912,9640,29504,9434,28119,8846,28119,8846,36965,33267
44960,43335,15478,14868,42427,14427,40255,13483,40255,13483,53738,50024
32717,28667,8829,7467,27894,7098,26275,6645,26275,6645,32920,31615
28961,28054,10429,10114,27218,9619,26001,9205,26001,9205,35206,34778
139330,132407,42081,39597,130382,38574,125836,36292,125836,36292,162128,152621
70643,68634,14751,14216,66079,13276,60584,11879,60584,11879,72463,67239
25907,23939,13314,12383,23246,11815,20825,10359,20825,10359,31184,24700
17294,16060,5432,4972,15453,4693,14216,4127,14216,4127,18343,14899
34159,33060,11900,11514,32164,10952,30684,10388,30684,10388,41072,40501
36040,33840,11210,10381,32871,9908,31473,9413,31473,9413,40886,40177
38598,37074,8670,8202,36107,7734,34538,7338,34538,7338,41876,40548
38336,36310,10544,9877,35248,9428,32173,8377,32173,8377,40550,32824
21858,20929,6400,6056,20202,5733,19024,5374,19024,5374,24398,23441
24703,23817,7511,7240,23231,6918,21616,6178,21616,6178,27794,24864
14358,13144,5841,5301,12864,5100,12169,4793,12169,4793,16962,16409
31572,29853,13697,12863,28606,12236,26737,11280,26737,11280,38017,36137
34683,33051,10847,10264,32310,9838,30683,9108,30683,9108,39791,37691
41010,36389,19321,16844,35704,16252,34424,15714,34424,15714,50138,49185
347,308,139,122,275,92,231,73,231,73,304,304
27808,26360,7453,7081,25250,6602,23248,5942,23248,5942,29190,27233
25843,24822,16241,15668,24064,15155,22826,14366,22826,14366,37192,35547
33908,32508,12479,11968,31827,11632,30229,11066,30229,11066,41295,39348
94006,90843,42678,41527,90502,41397,89640,40985,89640,40985,130625,128932
23050,22005,8460,8067,21598,7882,20198,7259,20198,7259,27457,24380
10220,9612,2544,2355,9281,2211,8776,1973,8776,1973,10749,10049
42563,40934,14626,14031,40155,13634,38989,13202,38989,13202,52191,51170
33513,31681,11841,11167,30786,10771,29077,10076,29077,10076,39153,36441
11518,10679,4188,3893,10319,3671,9878,3491,9878,3491,13369,13266
34611,29046,17274,14028,28459,13621,27054,12923,27054,12923,39977,35227
36431,34113,18133,16904,33307,16415,31928,15606,31928,15606,47534,46003
53604,51765,21300,20590,50501,19707,46959,18142,46959,18142,65101,55631
27042,25551,15321,14415,24938,13947,23130,12842,23130,12842,35972,32565
99904,92940,45385,41948,89473,40275,79693,35685,79693,35685,115378,79648
47727,43648,15905,14484,42178,13765,39867,12903,39867,12903,52770,51363
62747,60327,46950,45493,57695,43281,51489,38877,51489,38877,90366,78226
45768,41862,21084,18942,40272,18159,36705,16489,36705,16489,53194,43333
122880,118264,64124,62160,118140,61980,117192,61440,117192,61440,178632,175481
33736,31979,15444,14628,31011,13993,28475,12741,28475,12741,41216,38508
46342,43585,14668,13552,42405,12898,40455,12223,40455,12223,52678,50190
7152,867,4158,350,504,167,384,124,384,124,508,493
10642,9730,3108,2812,9191,2573,8369,2285,8369,2285,10654,10151
20573,18813,6596,5955,18078,5498,16300,4853,16300,4853,21153,19599
17657,16087,7418,6594,15369,6250,13778,5468,13778,5468,19246,17732
29175,27941,12579,11976,27364,11670,25626,10809,25626,10809,36435,34275
15595,14513,5337,4906,13512,4387,11889,3704,11889,3704,15593,14433
14870,14077,6778,6388,13713,6070,12889,5659,12889,5659,18548,18081
32530,26986,13310,10443,26161,9876,23621,8586,23621,8586,32207,25998
50686,49249,13662,13275,47403,12375,44529,11645,44529,11645,56174,55256
22883,16435,13602,9947,16083,9687,14401,8625,14401,8625,23026,19150
22884,20986,8938,8074,20085,7611,18163,6780,18163,6780,24943,22830
119807,115920,52257,50553,112987,48688,105541,43299,105541,43299,148840,131486
11430,10105,4688,4058,9585,3722,8823,3369,8823,3369,12192,11569
24574,15703,7057,4063,15279,3907,14281,3542,14281,3542,17823,15592
22900,22191,8008,7715,21449,7338,19806,6773,19806,6773,26579,24512
47343,45652,14941,14400,44455,13844,42153,12899,42153,12899,55052,53913
67873,64079,23899,22258,62202,21303,57213,19251,57213,19251,76464,66877
26318,23719,12314,11007,22892,10545,20855,9521,20855,9521,30376,29004
73574,37654,37829,17781,36557,17074,34390,15964,34390,15964,50354,48296
47407,44184,17463,15826,42881,15123,39687,13835,39687,13835,53522,50205
47756,45996,24585,23577,44836,22790,41573,21042,41573,21042,62615,57544
92982,80617,41038,34435,78240,32861,71410,29887,71410,29887,101297,92015
61461,57532,18642,17362,56006,16638,51934,15261,51934,15261,67195,61301
91818,85599,67182,63246,79857,58722,68390,50685,68390,50685,119075,94403
81278,77629,35240,33520,75189,32203,69452,29563,69452,29563,99015,88678
138356,129070,63011,58408,122986,54435,109437,47574,109437,47574,157011,134642
5232,4584,2392,2100,4209,1777,3632,1510,3632,1510,5142,4943
58434,53952,17095,15533,52193,14566,48009,13146,48009,13146,61155,54982
44455,41098,17585,16113,40179,15572,38466,14878,38466,14878,53344,52127
