sample,distance_to_centroid
TW_201703E.1,0.5365976365157669
LL_201706A.1,0.564979184924268
TW_201706C.3,0.5492858020888344
CP_201711A.1,0.52116029183675
FH_201709C.3,0.759331470872498
CP_201706A.3,0.5189503887496798
CP_201707C.3,0.5233378732940157
LK_201706C.3,0.518230928132914
LK_201708A.3,0.5585249862580473
LL_201711B.3,0.5416271245107684
LL_201711C.2,0.5746477140647694
PO_201711B.2,0.5653693621415172
SA_201709A.2,0.7831813416298546
SA_201709B.1,0.5190388355482567
SA_201711A.3,0.6837146401391817
TR_201711A.3,0.5685258342036391
TW_201711A.2,0.5688628304596953
LL_201710B.3,0.5210291140865869
LL_201803A.3,0.51209505088344
LL_201803B.1,0.5193675279846919
PO_201801B.2,0.516990393991635
PO_201803A.2,0.6674867727670899
PO_201803B.2,0.510319780539012
TR_201805C.2,0.5157376100686033
TW_201805C.1,0.5308873980718309
CP_201801A.2,0.6045103277288234
CP_201801B.1,0.5465140939720392
CP_201801C.3,0.5347186782093534
CP_201805B.1,0.5132553761811022
CP_201805C.1,0.5191820637391991
FH_201801C.1,0.5604508462976202
LK_201805A.1,0.5408011268237024
LK_201805B.1,0.5159495921828937
